,coef,se,t,p,CI_lower,CI_higher,p_adj,partial_eta_sq,p_adj_report
Intercept,2.184,0.062,35.025,0.0,2.061,2.307,,0.844,nan 
group_effect,0.161,0.125,1.291,0.198,-0.085,0.407,0.198,0.007,.198 
age,0.213,0.09,2.36,0.019,0.035,0.39,0.114,0.024,.114 
gender,-0.044,0.139,-0.316,0.752,-0.317,0.229,1.0,0.0,1.000 
education,0.075,0.044,1.707,0.089,-0.012,0.162,0.445,0.013,.445 
ai_exp,0.058,0.061,0.947,0.345,-0.063,0.179,1.0,0.004,1.000 
hcsds_c,-0.082,0.076,-1.075,0.283,-0.233,0.068,1.0,0.005,1.000 
hcsds_v,0.038,0.073,0.526,0.599,-0.105,0.181,1.0,0.001,1.000 
ati,0.237,0.065,3.645,0.0,0.109,0.364,0.0,0.056,< .001 ***
group_effect:age,-0.107,0.18,-0.592,0.554,-0.462,0.248,1.0,0.002,1.000 
group_effect:gender,0.268,0.277,0.968,0.334,-0.278,0.815,1.0,0.004,1.000 
group_effect:education,0.079,0.088,0.891,0.374,-0.095,0.252,1.0,0.004,1.000 
group_effect:ai_exp,-0.088,0.123,-0.717,0.474,-0.329,0.154,1.0,0.002,1.000 
group_effect:hcsds_c,-0.27,0.153,-1.766,0.079,-0.571,0.031,0.553,0.014,.553 
group_effect:hcsds_v,0.219,0.145,1.512,0.132,-0.066,0.505,0.792,0.01,.792 
group_effect:ati,0.03,0.13,0.231,0.817,-0.226,0.286,1.0,0.0,1.000 
