,coef,se,t,p,CI_lower,CI_higher,p_adj,partial_eta_sq,p_adj_report
Intercept,3.268,0.036,89.818,0.0,3.197,3.34,,0.973,nan 
group_effect,-0.072,0.073,-0.987,0.325,-0.215,0.072,0.325,0.004,.325 
age,0.223,0.053,4.239,0.0,0.119,0.326,0.0,0.074,< .001 ***
gender,0.019,0.081,0.238,0.812,-0.14,0.179,1.0,0.0,1.000 
education,0.003,0.026,0.125,0.901,-0.048,0.054,1.0,0.0,1.000 
ai_exp,0.069,0.036,1.922,0.056,-0.002,0.139,0.28,0.016,.280 
hcsds_c,0.106,0.045,2.386,0.018,0.019,0.194,0.108,0.025,.108 
hcsds_v,0.064,0.042,1.5,0.135,-0.02,0.147,0.54,0.01,.540 
ati,-0.018,0.038,-0.489,0.625,-0.093,0.056,1.0,0.001,1.000 
group_effect:age,0.048,0.105,0.452,0.652,-0.16,0.255,1.0,0.001,1.000 
group_effect:gender,0.069,0.162,0.427,0.67,-0.25,0.388,1.0,0.001,1.000 
group_effect:education,0.051,0.051,0.999,0.319,-0.05,0.153,1.0,0.004,1.000 
group_effect:ai_exp,0.012,0.071,0.17,0.865,-0.129,0.153,1.0,0.0,1.000 
group_effect:hcsds_c,-0.013,0.089,-0.142,0.888,-0.188,0.163,1.0,0.0,1.000 
group_effect:hcsds_v,-0.059,0.085,-0.701,0.484,-0.226,0.107,1.0,0.002,1.000 
group_effect:ati,-0.017,0.076,-0.229,0.819,-0.167,0.132,1.0,0.0,1.000 
