,coef,se,t,p,CI_lower,CI_higher,p_adj,partial_eta_sq,p_adj_report
Intercept,3.403,0.05,68.184,0.0,3.305,3.501,,0.954,nan 
group_effect,-0.094,0.1,-0.945,0.346,-0.291,0.102,0.346,0.004,.346 
age,0.379,0.072,5.253,0.0,0.237,0.521,0.0,0.109,< .001 ***
gender,0.133,0.111,1.197,0.232,-0.086,0.352,0.684,0.006,.684 
education,0.043,0.035,1.209,0.228,-0.027,0.112,0.684,0.006,.684 
ai_exp,0.167,0.049,3.409,0.001,0.071,0.264,0.006,0.049,.006 **
hcsds_c,0.119,0.061,1.941,0.054,-0.002,0.239,0.27,0.016,.270 
hcsds_v,0.087,0.058,1.5,0.135,-0.027,0.201,0.54,0.01,.540 
ati,-0.052,0.052,-1.009,0.314,-0.155,0.05,0.684,0.004,.684 
group_effect:age,-0.133,0.144,-0.92,0.359,-0.417,0.152,1.0,0.004,1.000 
group_effect:gender,0.117,0.222,0.527,0.599,-0.32,0.554,1.0,0.001,1.000 
group_effect:education,0.125,0.071,1.77,0.078,-0.014,0.264,0.546,0.014,.546 
group_effect:ai_exp,-0.054,0.098,-0.554,0.58,-0.248,0.139,1.0,0.001,1.000 
group_effect:hcsds_c,0.108,0.122,0.887,0.376,-0.133,0.349,1.0,0.003,1.000 
group_effect:hcsds_v,-0.06,0.116,-0.521,0.603,-0.289,0.168,1.0,0.001,1.000 
group_effect:ati,0.013,0.104,0.121,0.904,-0.192,0.217,1.0,0.0,1.000 
