,coef,se,t,p,CI_lower,CI_higher,p_adj,partial_eta_sq,p_adj_report
Intercept,3.378,0.051,65.965,0.0,3.278,3.479,,0.951,nan 
group_effect,-0.064,0.102,-0.627,0.532,-0.266,0.138,0.532,0.002,.532 
age,0.032,0.074,0.433,0.666,-0.114,0.178,1.0,0.001,1.000 
gender,0.184,0.114,1.613,0.108,-0.041,0.408,0.648,0.011,.648 
education,0.057,0.036,1.583,0.115,-0.014,0.129,0.648,0.011,.648 
ai_exp,0.007,0.05,0.135,0.893,-0.092,0.106,1.0,0.0,1.000 
hcsds_c,-0.076,0.063,-1.215,0.226,-0.2,0.047,0.904,0.006,.904 
hcsds_v,0.03,0.06,0.509,0.611,-0.087,0.148,1.0,0.001,1.000 
ati,-0.151,0.053,-2.831,0.005,-0.256,-0.046,0.035,0.034,.035 *
group_effect:age,-0.323,0.148,-2.185,0.03,-0.615,-0.032,0.21,0.021,.210 
group_effect:gender,-0.105,0.228,-0.461,0.645,-0.554,0.344,1.0,0.001,1.000 
group_effect:education,0.015,0.072,0.203,0.84,-0.128,0.157,1.0,0.0,1.000 
group_effect:ai_exp,-0.134,0.101,-1.327,0.186,-0.332,0.065,1.0,0.008,1.000 
group_effect:hcsds_c,-0.006,0.125,-0.045,0.964,-0.253,0.242,1.0,0.0,1.000 
group_effect:hcsds_v,0.053,0.119,0.448,0.655,-0.181,0.288,1.0,0.001,1.000 
group_effect:ati,0.051,0.107,0.474,0.636,-0.16,0.261,1.0,0.001,1.000 
