,pillai value,F Value,Num DF,Den DF,partial_eta_sq,p,p_adj,p_adj_report
Intercept,0.98,2269.646,5.0,235.0,0.98,0.0,,nan 
group_effect,0.02,0.951,5.0,235.0,0.02,0.448,0.448,.448 
age,0.186,10.712,5.0,235.0,0.186,0.0,0.0,< .001 ***
gender,0.014,0.648,5.0,235.0,0.014,0.663,0.663,.663 
education,0.071,3.609,5.0,235.0,0.071,0.004,0.017,.017 *
ai_exp,0.072,3.648,5.0,235.0,0.072,0.003,0.017,.017 *
hcsds_c,0.061,3.031,5.0,235.0,0.061,0.011,0.034,.034 *
hcsds_v,0.032,1.531,5.0,235.0,0.032,0.181,0.362,.362 
ati,0.091,4.724,5.0,235.0,0.091,0.0,0.002,.002 **
group_effect:age,0.054,2.701,5.0,235.0,0.054,0.021,0.129,.129 
group_effect:gender,0.015,0.709,5.0,235.0,0.015,0.617,1.0,1.000 
group_effect:education,0.02,0.964,5.0,235.0,0.02,0.441,1.0,1.000 
group_effect:ai_exp,0.057,2.828,5.0,235.0,0.057,0.017,0.118,.118 
group_effect:hcsds_c,0.03,1.433,5.0,235.0,0.03,0.213,1.0,1.000 
group_effect:hcsds_v,0.025,1.227,5.0,235.0,0.025,0.297,1.0,1.000 
group_effect:ati,0.013,0.609,5.0,235.0,0.013,0.693,1.0,1.000 
