outcome,moderator,n,r_squared,adj_r_squared,b_group,se_group,p_group,ci_group_lower,ci_group_upper,b_moderator,se_moderator,p_moderator,b_interaction,se_interaction,p_interaction,ci_interaction_lower,ci_interaction_upper,p_bonferroni,sig_bonferroni,p_fdr,sig_fdr,β (SE)
tia_f,manip_check1_1,255,0.013380263538016246,0.001587995771538342,0.14175974739076747,0.11507229559356023,0.21913217605201704,-0.08487056203609053,0.3683900568176255,-0.06430873680651268,0.04925907813225561,0.19291103777338728,-0.03219918132009303,0.09851815626451133,0.7440650710348089,-0.22622677174246783,0.16182840910228177,1.0,False,0.8455284898122828,False,-0.032 (0.099)
tia_pro,manip_check1_1,255,0.0023366277223901832,-0.009587635691286511,-0.03132547305920161,0.08315944939449782,0.7067209895011657,-0.1951047011594958,0.13245375504109258,-0.008405637857994952,0.03559812371891335,0.8135275677504266,0.04245745896048371,0.07119624743782677,0.5514828392837512,-0.09776071869590085,0.18267563661686825,1.0,False,0.8293861621947037,False,0.042 (0.071)
tia_rc,manip_check1_1,255,0.044626168324554794,0.03320735758739812,-0.1037839008912001,0.06879334744438764,0.13265032908504504,-0.23926966258050997,0.03170186079810977,-0.05654840990940747,0.02944841639999523,0.05595913830146929,0.12912149379380616,0.05889683279999052,0.029273991109704828,0.013126524084774369,0.24511646350283794,0.7318497777426207,False,0.47009677551715295,False,0.129 (0.059)
tia_t,manip_check1_1,255,0.05764566307672714,0.04638246383063227,-0.10271384482551144,0.09703686502511329,0.29084363056094237,-0.2938240910669567,0.08839640141593388,-0.14678724895961962,0.04153863874293559,0.00048758553285147596,0.0814654764971339,0.08307727748587126,0.327734856104257,-0.08215191729732524,0.24508287029159304,1.0,False,0.8293861621947037,False,0.081 (0.083)
tia_up,manip_check1_1,255,0.028104016061031523,0.016487729400406437,-0.003256886203743481,0.09143006847618916,0.9716123897484368,-0.18332476963994704,0.17681099723246008,-0.09782483452770627,0.0391385334191432,0.013078059790407368,0.053204397675212914,0.07827706683828649,0.49732503733274713,-0.10095917216653176,0.20736796751695757,1.0,False,0.8293861621947037,False,0.053 (0.078)
tia_f,manip_check1_2,255,0.009674429750950786,-0.0021621308496353464,0.13249544827039322,0.1216937570599462,0.27730344024587994,-0.10717556616060694,0.3721664627013934,-0.023433282788210268,0.05827727304681163,0.6879527357041335,0.09149028926229014,0.11655454609362301,0.43321912100135196,-0.1380592535712241,0.32103983209580433,1.0,False,0.8293861621947037,False,0.091 (0.117)
tia_pro,manip_check1_2,255,0.022922762455262813,0.011244548460704218,0.03586080368917727,0.08686952854195876,0.6800965974565916,-0.13522527773189366,0.2069468851102482,0.09839223949586512,0.041600484335393935,0.018782903081255155,0.03541015103474162,0.08320096867078769,0.6707656143501524,-0.12845084762886858,0.19927114969835183,1.0,False,0.8455284898122828,False,0.035 (0.083)
tia_rc,manip_check1_2,255,0.0507939619948804,0.03944886990716978,-0.018685675090686513,0.07238081072194893,0.7964966290925433,-0.16123680302177928,0.12386545284040627,0.11700563571981877,0.034662059679156344,0.0008532901766432923,0.008288825203078543,0.06932411935831255,0.9049223975771046,-0.12824227066043387,0.14481992106659097,1.0,False,0.9049223975771046,False,0.008 (0.069)
tia_t,manip_check1_2,255,0.02388890420883716,0.012222237725277418,-0.011265220320835842,0.10424678995264633,0.914032053837606,-0.21657512694832698,0.19404468630665528,0.111658798879629,0.04992218819681394,0.02618756858167687,-0.05768038611170957,0.09984437639362767,0.5639825902923986,-0.25431991433092266,0.13895914210750349,1.0,False,0.8293861621947037,False,-0.058 (0.100)
tia_up,manip_check1_2,255,0.058569449444860866,0.04731729147009822,0.11344849825662749,0.09498537037007251,0.23345734388352268,-0.0736214108553528,0.3005184073686078,0.15625260762938678,0.04548703646138949,0.0006929368953781189,-0.17380190839713977,0.09097407292277879,0.05721408215858687,-0.3529717267271107,0.00536790993283115,1.0,False,0.47009677551715295,False,-0.174 (0.091)
