,coef,se,t,p,CI_lower,CI_higher,p_adj,partial_eta_sq,p_adj_report
Intercept,2.168,0.058,37.322,0.0,2.054,2.282,,0.854,nan 
group_effect,0.175,0.116,1.505,0.134,-0.054,0.404,0.134,0.009,.134 
age,0.177,0.064,2.747,0.006,0.05,0.303,0.036,0.031,.036 *
gender,-0.064,0.131,-0.493,0.623,-0.322,0.193,0.964,0.001,.964 
education,0.067,0.041,1.637,0.103,-0.014,0.148,0.515,0.011,.515 
ai_exp,0.067,0.06,1.118,0.265,-0.051,0.184,0.964,0.005,.964 
hcsds_c,-0.085,0.072,-1.175,0.241,-0.227,0.057,0.964,0.006,.964 
hcsds_v,0.049,0.069,0.71,0.479,-0.087,0.185,0.964,0.002,.964 
ati,0.244,0.062,3.904,0.0,0.121,0.367,0.0,0.06,< .001 ***
group_effect:age,-0.061,0.129,-0.477,0.634,-0.315,0.192,1.0,0.001,1.000 
group_effect:gender,0.258,0.261,0.987,0.325,-0.257,0.773,1.0,0.004,1.000 
group_effect:education,0.065,0.082,0.79,0.43,-0.097,0.226,1.0,0.003,1.000 
group_effect:ai_exp,-0.087,0.119,-0.728,0.467,-0.322,0.148,1.0,0.002,1.000 
group_effect:hcsds_c,-0.292,0.145,-2.023,0.044,-0.577,-0.008,0.308,0.017,.308 
group_effect:hcsds_v,0.246,0.138,1.778,0.077,-0.027,0.518,0.462,0.013,.462 
group_effect:ati,0.048,0.125,0.384,0.702,-0.198,0.294,1.0,0.001,1.000 
