,coef,se,t,p,CI_lower,CI_higher,p_adj,partial_eta_sq,p_adj_report
Intercept,2.731,0.041,66.028,0.0,2.65,2.813,,0.948,nan 
group_effect,-0.04,0.083,-0.477,0.634,-0.202,0.124,0.634,0.001,.634 
age,0.192,0.046,4.181,0.0,0.101,0.282,0.0,0.068,< .001 ***
gender,0.072,0.093,0.773,0.44,-0.111,0.255,0.88,0.002,.880 
education,-0.045,0.029,-1.531,0.127,-0.102,0.013,0.48,0.01,.480 
ai_exp,0.118,0.042,2.783,0.006,0.035,0.202,0.036,0.031,.036 *
hcsds_c,0.014,0.051,0.265,0.791,-0.088,0.115,0.88,0.0,.880 
hcsds_v,0.124,0.049,2.514,0.013,0.027,0.221,0.065,0.026,.065 
ati,-0.07,0.044,-1.562,0.12,-0.157,0.018,0.48,0.01,.480 
group_effect:age,0.13,0.092,1.423,0.156,-0.05,0.311,0.936,0.008,.936 
group_effect:gender,0.208,0.186,1.119,0.264,-0.158,0.575,1.0,0.005,1.000 
group_effect:education,0.05,0.058,0.862,0.389,-0.065,0.165,1.0,0.003,1.000 
group_effect:ai_exp,0.195,0.085,2.296,0.023,0.028,0.362,0.161,0.022,.161 
group_effect:hcsds_c,-0.114,0.103,-1.105,0.27,-0.316,0.089,1.0,0.005,1.000 
group_effect:hcsds_v,0.014,0.099,0.143,0.886,-0.18,0.208,1.0,0.0,1.000 
group_effect:ati,-0.113,0.089,-1.272,0.205,-0.288,0.062,1.0,0.007,1.000 
