,coef,se,t,p,CI_lower,CI_higher,p_adj,partial_eta_sq,p_adj_report
Intercept,3.385,0.047,71.988,0.0,3.292,3.477,,0.956,nan 
group_effect,-0.101,0.094,-1.077,0.283,-0.287,0.084,0.283,0.005,.283 
age,0.317,0.052,6.091,0.0,0.215,0.42,0.0,0.134,< .001 ***
gender,0.145,0.106,1.368,0.173,-0.064,0.353,0.441,0.008,.441 
education,0.061,0.033,1.848,0.066,-0.004,0.127,0.325,0.014,.325 
ai_exp,0.168,0.048,3.469,0.001,0.072,0.263,0.006,0.048,.006 **
hcsds_c,0.108,0.058,1.851,0.065,-0.007,0.223,0.325,0.014,.325 
hcsds_v,0.081,0.056,1.454,0.147,-0.029,0.192,0.441,0.009,.441 
ati,-0.053,0.051,-1.05,0.295,-0.153,0.046,0.441,0.005,.441 
group_effect:age,-0.144,0.104,-1.381,0.169,-0.349,0.061,1.0,0.008,1.000 
group_effect:gender,0.12,0.212,0.566,0.572,-0.297,0.536,1.0,0.001,1.000 
group_effect:education,0.13,0.066,1.952,0.052,-0.001,0.26,0.364,0.016,.364 
group_effect:ai_exp,-0.045,0.097,-0.469,0.639,-0.236,0.145,1.0,0.001,1.000 
group_effect:hcsds_c,0.113,0.117,0.966,0.335,-0.117,0.344,1.0,0.004,1.000 
group_effect:hcsds_v,-0.092,0.112,-0.82,0.413,-0.312,0.129,1.0,0.003,1.000 
group_effect:ati,0.006,0.101,0.064,0.949,-0.193,0.206,1.0,0.0,1.000 
